0 0 0 
0 0 0 
1 1 2880 
2 2 6366 
3 3 11040 
4 4 17093 
5 5 24141 
6 6 32308 
7 7 42483 
8 8 53872 
9 9 67232 
10 10 79710 
11 11 94838 
12 12 118932 
13 13 144984 
14 14 170557 
15 15 199241 
16 16 218828 
17 17 231199 
18 18 244810 
19 19 256807 
20 20 267014 
21 21 269403 
22 22 274809 
23 23 283549 
24 24 282355 
25 25 283982 
26 26 287339 
27 27 286890 
28 28 278858 
29 29 271704 
30 30 267206 
31 31 257314 
32 32 247891 
33 33 244569 
34 34 243611 
35 35 250471 
36 36 268066 
37 37 288485 
38 38 306771 
39 39 314829 
40 40 323931 
41 41 338464 
42 42 353258 
43 43 367038 
44 44 389412 
45 45 408995 
46 46 431410 
47 47 454449 
48 48 484395 
49 49 508013 
50 50 528685 
51 51 543797 
52 52 552562 
53 53 556593 
54 54 557324 
55 55 562104 
56 56 569422 
57 57 578300 
58 58 579805 
59 59 577571 
60 60 577038 
61 61 576828 
62 62 585934 
63 63 595689 
64 64 581566 
65 65 573757 
66 66 591619 
67 67 603295 
68 68 611471 
69 69 623576 
70 70 631488 
71 71 650010 
72 72 649873 
73 73 687355 
74 74 725945 
75 75 740296 
76 76 764330 
77 77 804585 
78 78 850326 
79 79 881713 
80 80 914098 
81 81 948422 
82 82 955638 
83 83 965113 
84 84 992309 
85 85 1025369 
86 86 1032434 
87 87 1040569 
88 88 1035509 
89 89 1023508 
90 90 1017951 
91 91 1012368 
92 92 1015376 
93 93 1001516 
94 94 975792 
95 95 988604 
96 96 994963 
97 97 1000096 
98 98 1012429 
99 99 1037265 
100 100 1049233 
101 101 1062014 
102 102 1083326 
103 103 1083424 
104 104 1084885 
105 105 1083889 
106 106 1087133 
107 107 1073563 
108 108 1081057 
109 109 1096790 
110 110 1092816 
111 111 1079843 
112 112 1058015 
113 113 1021791 
114 114 985212 
115 115 935797 
116 116 935710 
117 117 943220 
118 118 922936 
119 119 904526 
120 120 897301 
121 121 903105 
122 122 894976 
123 123 869580 
124 124 859242 
125 125 867609 
126 126 865239 
127 127 852919 
128 128 852299 
129 129 849438 
130 130 856474 
131 131 846405 
132 132 862422 
133 133 876350 
134 134 861040 
135 135 845201 
136 136 814933 
137 137 789438 
138 138 790555 
139 139 817079 
140 140 794251 
141 141 778578 
142 142 774513 
143 143 771714 
144 144 759932 
145 145 756450 
146 146 752331 
147 147 713886 
148 148 682682 
149 149 670242 
150 150 657390 
151 151 646405 
152 152 637003 
153 153 599319 
154 154 575939 
155 155 581337 
156 156 586480 
157 157 585732 
158 158 560810 
159 159 566429 
160 160 552868 
161 161 542001 
162 162 537370 
163 163 546222 
164 164 553692 
165 165 546339 
166 166 519740 
167 167 503657 
168 168 490915 
169 169 483245 
170 170 482425 
171 171 487037 
172 172 465034 
173 173 451625 
174 174 410930 
175 175 368028 
176 176 340341 
177 177 315837 
178 178 290410 
179 179 261864 
180 180 250878 
181 181 232323 
182 182 212732 
183 183 201521 
184 184 193555 
185 185 184481 
186 186 178028 
187 187 174456 
188 188 171910 
189 189 178520 
190 190 174751 
191 191 166048 
192 192 150695 
193 193 146935 
194 194 137596 
195 195 135263 
196 196 121453 
197 197 101853 
198 198 75908 
199 199 50673 
200 200 23420 
201 201 1235 
-1 -1 0 
403 403 0 
